name,category,price,description,stock_count
Wireless Earbuds Pro,Electronics,79.99,Premium noise-cancelling wireless earbuds with 30hr battery life and touch controls,150
Smart Watch X1,Electronics,199.99,Advanced smartwatch with health monitoring GPS and 5-day battery,85
Organic Cotton T-Shirt,Clothing,29.99,Soft organic cotton crew neck tee available in 6 colors,500
Premium Backpack,Accessories,89.99,Water-resistant laptop backpack with USB charging port and anti-theft design,200
Yoga Mat Deluxe,Fitness,49.99,Extra thick non-slip yoga mat with carrying strap,300
Bluetooth Speaker Mini,Electronics,39.99,Portable waterproof speaker with 12hr battery and deep bass,420
Running Shoes CloudX,Footwear,129.99,Lightweight cushioned running shoes with breathable mesh upper,180
Stainless Steel Water Bottle,Accessories,24.99,Double-wall insulated bottle keeps drinks cold 24hr hot 12hr,600
Laptop Stand Ergonomic,Electronics,59.99,Adjustable aluminum laptop stand with cable management,250
Protein Powder Vanilla,Health,44.99,Plant-based protein powder 25g protein per serving with BCAAs,350
LED Desk Lamp,Electronics,34.99,Dimmable LED desk lamp with wireless charging base and USB port,280
Noise Cancelling Headphones,Electronics,149.99,Over-ear headphones with active noise cancellation and 40hr battery,120
Fitness Tracker Band,Electronics,49.99,Slim fitness tracker with heart rate sleep tracking and notifications,400
Canvas Tote Bag,Accessories,19.99,Eco-friendly heavy-duty canvas tote with inside pocket,800
Resistance Bands Set,Fitness,22.99,Set of 5 resistance bands with carrying pouch for home workouts,550
