name,category,price,description,stock_count,is_available
Wireless Earbuds Pro,Electronics,79.99,"Premium noise-cancelling wireless earbuds with 30-hour battery life. Features include active noise cancellation (ANC), transparency mode, IPX5 water resistance, touch controls, wireless charging case, Bluetooth 5.3, and multipoint connection. Available in Midnight Black, Pearl White, and Ocean Blue. Includes 3 sizes of silicone ear tips and a USB-C charging cable. Perfect for commuting, workouts, and all-day listening.",150,true
Smart Watch X1,Electronics,199.99,"Advanced smartwatch with comprehensive health monitoring including heart rate, SpO2, sleep tracking, stress monitoring, and ECG. Features built-in GPS, NFC for contactless payments, 1.4-inch AMOLED display with always-on mode, 5ATM water resistance, and 7-day battery life. Compatible with Android and iOS. Includes magnetic charging cable, extra sport band, and screen protector. Over 100 watch faces available.",85,true
Organic Cotton T-Shirt,Clothing,29.99,"Ultra-soft 100% GOTS-certified organic cotton crew neck t-shirt. Pre-shrunk, 180 GSM heavyweight fabric. Reinforced double-stitched seams for durability. Available in 6 colors: Classic White, Charcoal Grey, Navy Blue, Forest Green, Dusty Rose, and Midnight Black. Sizes: XS to 3XL. Machine washable at 30°C. Ethically manufactured in India with zero-waste production. Perfect for everyday casual wear.",500,true
Premium Backpack,Accessories,89.99,"Water-resistant 25L laptop backpack with dedicated padded compartment fitting up to 16-inch laptops. Features include built-in USB charging port, hidden anti-theft pocket, ergonomic padded shoulder straps, breathable back panel, luggage sleeve, and 7 organized compartments. Made from tear-resistant 600D polyester with YKK zippers. Dimensions: 45 x 30 x 15 cm. Weight: 0.8 kg. Available in Slate Grey and Classic Black.",200,true
Yoga Mat Deluxe,Fitness,49.99,"Extra thick 6mm non-slip yoga mat with alignment lines. Made from eco-friendly TPE material, free from PVC, latex, and toxic chemicals. Double-sided textured surface for superior grip on both sides. Dimensions: 183 x 66 cm. Lightweight at 1.2 kg with included carrying strap. Moisture-resistant and easy to clean. Perfect for yoga, Pilates, meditation, and home workouts. Available in Lavender, Sage Green, and Charcoal.",300,true
Bluetooth Speaker Mini,Electronics,39.99,"Portable Bluetooth 5.3 speaker with rich 360-degree sound. 10W output with passive bass radiator for deep bass. IPX7 waterproof — can be submerged for 30 minutes. 12-hour battery life, USB-C fast charging (full charge in 2 hours). Built-in microphone for hands-free calls. Compact size (8.5 x 8.5 cm) weighing just 295g. True Wireless Stereo (TWS) pairing for stereo sound with two speakers. Available in Red, Black, and Teal.",250,true
LED Desk Lamp Pro,Electronics,59.99,"Smart LED desk lamp with 5 color temperatures (2700K-6500K) and 10 brightness levels. Touch-sensitive controls with memory function. Built-in USB-A charging port for phones/tablets. Adjustable arm with 3-axis rotation for perfect positioning. Eye-care technology with flicker-free light and anti-glare design. Timer function (30/60 min auto-off). Energy efficient — uses only 12W. Sleek aluminum alloy design in Silver or Space Grey.",175,true
Running Shoes CloudX,Fitness,129.99,"Lightweight performance running shoes with CloudTec cushioning technology. Engineered mesh upper for maximum breathability. Speedboard energy return system for explosive push-offs. Rubber outsole with multi-directional grip pattern. Weighs only 245g (Men's US 9). Heel-to-toe drop: 6mm. Reflective elements for low-light visibility. Available in sizes Men's 7-13 and Women's 5-11. Colors: Storm Grey/White, All Black, Red/Blue.",120,true
Stainless Steel Water Bottle,Accessories,24.99,"Double-wall vacuum-insulated 750ml water bottle. Keeps drinks cold for 24 hours or hot for 12 hours. Made from 18/8 food-grade stainless steel, BPA-free. Wide mouth opening for easy filling and cleaning. Leak-proof twist cap with carry loop. Powder-coated exterior in 8 colors: Arctic White, Ocean Blue, Forest Green, Coral Pink, Midnight Black, Sunrise Yellow, Lavender, and Copper. Fits standard cup holders. Gift box included.",400,true
Wireless Charging Pad,Electronics,19.99,"Universal Qi wireless charging pad compatible with all Qi-enabled devices. Supports up to 15W fast charging for Samsung, 7.5W for iPhone, 5W standard. Ultra-slim design (9mm thick) with anti-slip silicone surface. LED indicator with sleep-friendly dimming. Foreign object detection and temperature protection. Includes 1m USB-C cable. Works through cases up to 8mm thick. Available in White and Black. Perfect desk or nightstand accessory.",350,true
